Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share
whimsical engagement rings,USD,1300,0%,48%,High,100,1.04,3.28,< 1%
oval engagement rings thin band,USD,1300,-19%,0%,High,100,1.92,4.92,2%
sapphire wedding sets,USD,1300,0%,-19%,High,100,0.93,3.39,2%
3k diamond ring,USD,1300,0%,-19%,High,100,1.06,3.25,7%
rose gold princess cut engagement ring,USD,1300,-23%,-23%,High,100,1.42,5.11,4%
oval halo ring,USD,1300,-23%,-23%,High,100,1.87,5.49,< 1%
mens solitaire diamond ring,USD,1300,0%,-19%,High,100,0.96,4.03,53%
pink diamond wedding ring,USD,1300,-19%,0%,High,100,1.40,3.54,11%
filigree wedding band,USD,1300,-12%,-12%,High,100,0.90,3.73,1%
camo wedding rings,USD,1300,-23%,-23%,High,97,0.48,1.97,
3 stone moissanite ring,USD,1300,0%,-23%,High,100,0.97,4.21,36%
heart shaped wedding ring,USD,1300,-19%,0%,High,100,1.09,3.72,3%
white gold princess cut engagement ring,USD,1300,-23%,-23%,High,99,1.05,4.44,10%
blue topaz and diamond ring,USD,1300,-12%,-32%,High,100,1.09,5.56,3%
widows ring,USD,1300,-38%,-58%,High,100,0.17,0.70,< 1%
blue diamond wedding ring,USD,1300,30%,0%,High,100,1.34,3.64,54%
best online engagement rings store,USD,1300,519%,3708%,High,97,4.84,46.39,2%
aquamarine emerald cut ring,USD,1300,0%,-19%,High,100,1.02,3.25,2%
vvs diamond earrings for men's,USD,1300,-18%,-41%,High,98,0.72,2.46,7%
10k wedding ring,USD,1300,-23%,-23%,High,100,0.80,3.01,8%
1 3 carat diamond,USD,1300,-23%,0%,High,100,1.28,3.54,6%
pear cut ring,USD,1300,-19%,30%,High,100,1.34,4.46,< 1%
3 carat natural diamond ring,USD,1300,-16%,82%,High,100,1.50,4.44,10%
simulated diamond engagement rings,USD,1300,-23%,-23%,High,100,1.06,4.26,3%
curved wedding band yellow gold,USD,1300,-16%,0%,High,100,1.19,3.90,19%
mixed metal engagement rings,USD,1300,-32%,48%,High,100,1.67,4.00,< 1%
two diamond engagement ring,USD,1300,-19%,30%,High,100,1.88,4.39,24%
mens diamond ring 1 carat,USD,1300,-23%,-23%,High,100,0.76,2.96,100%
groom wedding band,USD,1300,19%,90%,High,100,1.28,4.31,< 1%
butterfly diamond earrings,USD,1300,-12%,-12%,High,100,0.93,4.29,2%
moss agate promise ring,USD,1300,-33%,-33%,High,100,1.07,4.15,< 1%
simple mens wedding bands,USD,1300,0%,23%,High,100,1.36,4.01,< 1%
natural pink diamond,USD,1300,0%,60%,High,100,0.93,3.25,2%
heart wedding ring,USD,1300,-19%,-19%,High,100,1.30,3.54,2%
1.5 carat diamond ring price,USD,1300,-46%,30%,High,97,1.11,3.15,4%
gold diamond drop earrings,USD,1300,-32%,30%,High,100,0.76,3.78,4%
double diamond ring,USD,1300,-19%,30%,High,100,1.50,3.60,27%
wedding ring sets for her,USD,1300,-23%,-38%,High,99,0.76,3.54,29%
mens designer wedding bands,USD,1300,0%,-16%,High,100,1.12,3.72,2%
agate engagement ring,USD,1300,-45%,22%,High,100,1.17,4.28,< 1%
forever bride rings,USD,1300,-23%,-38%,High,100,0.19,2.53,2%
vintage ruby engagement rings,USD,1300,0%,46%,High,100,0.83,3.72,< 1%
pink diamond wedding band,USD,1300,-19%,0%,High,100,1.40,3.54,11%
unique gold engagement rings,USD,1300,-23%,0%,High,100,1.33,3.27,1%
sapphire wedding ring sets,USD,1300,0%,-19%,High,100,0.93,3.39,2%
mens white gold diamond ring,USD,1300,0%,-19%,High,100,0.77,3.52,100%
tiny diamond ring,USD,1300,-12%,0%,High,100,0.75,3.40,1%
travel wedding rings,USD,1300,23%,23%,High,100,0.48,2.61,< 1%
three stone moissanite ring,USD,1300,0%,-23%,High,100,0.97,4.21,36%
tanzanite diamond ring,USD,1300,23%,23%,High,100,1.01,4.52,6%
peridot diamond ring,USD,1300,-19%,0%,High,100,1.16,3.60,6%
ring designers,USD,1300,0%,60%,High,100,1.41,4.17,1%
2.5 carat diamond ring price,USD,1300,-47%,-38%,High,97,1.23,3.18,2%
4 carat princess cut diamond ring,USD,1300,0%,0%,High,100,1.61,4.40,21%
citrine diamond ring,USD,1300,-45%,-12%,High,100,1.17,4.25,2%
oval diamond gold band,USD,1300,-23%,0%,High,100,1.76,4.70,< 1%
emerald gemstone engagement rings,USD,1300,-23%,0%,High,100,1.53,4.78,1%
green wedding ring,USD,1300,-19%,-19%,High,100,1.32,3.40,< 1%
10k gold wedding band,USD,1300,-19%,30%,High,100,0.48,2.51,5%
5 c's of diamonds,USD,1300,0%,0%,Medium,65,0.99,3.50,4%
sapphire diamond,USD,1300,-23%,-23%,High,100,1.41,6.60,1%
sterling silver diamond stud earrings,USD,1300,-32%,-12%,High,100,0.39,2.52,4%
channel setting ring,USD,1300,0%,23%,High,100,1.63,6.13,7%
10k gold mens wedding band,USD,1300,-38%,0%,High,100,0.75,3.25,36%
blue topaz diamond ring,USD,1300,-12%,-32%,High,100,1.09,5.56,3%
man bands rings,USD,1300,-99%,-18%,High,84,1.25,5.93,
gold and silver engagement rings,USD,1300,-19%,0%,High,100,1.20,4.00,2%
elongated cushion ring,USD,1300,0%,48%,High,100,1.90,5.67,< 1%
blue diamond wedding band,USD,1300,30%,0%,High,100,1.34,3.64,54%
1ct moissanite ring,USD,1300,-23%,-23%,High,100,0.73,2.70,2%
colored diamond rings,USD,1300,-19%,48%,High,100,1.47,4.03,3%
diamond shaped engagement rings,USD,1300,-23%,0%,High,100,1.50,4.00,1%
celebrity wedding rings,USD,1300,-19%,-19%,High,100,0.04,0.13,< 1%
5 carat princess cut diamond ring,USD,1300,19%,116%,High,100,1.58,4.41,18%
emerald cut gold ring,USD,1300,-23%,14%,High,100,1.36,3.72,< 1%
white gold diamond wedding ring,USD,1300,0%,60%,High,100,1.01,3.67,26%
best online engagement ring retailers,USD,1300,519%,3708%,High,97,4.84,46.39,2%
75 carat diamond ring,USD,1300,0%,0%,High,100,1.45,4.55,6%
oval cut,USD,1300,23%,60%,High,96,2.16,7.00,< 1%
camo wedding bands,USD,1300,-23%,-23%,High,97,0.48,1.97,
rectangle cut diamond,USD,1300,0%,30%,High,100,0.99,3.44,< 1%
green mens wedding bands,USD,1300,0%,-23%,High,100,1.46,3.82,< 1%
egnaro rings,USD,1300,30%,30%,High,97,0.20,1.65,
stainless steel mens wedding band,USD,1300,-32%,-19%,High,100,0.75,3.29,< 1%
2.5 carat diamond price,USD,1300,-47%,-38%,High,97,1.23,3.18,2%
wedding band for marquise ring,USD,1300,-19%,0%,High,100,0.94,3.25,1%
plastic wedding bands,USD,1300,0%,-32%,High,100,0.42,2.24,
unique wedding bands for him,USD,1300,123%,190%,High,100,1.04,3.42,5%
wedding bands for solitaire rings,USD,1300,0%,-23%,High,100,1.19,4.38,8%
groom wedding ring,USD,1300,19%,90%,High,100,1.28,4.31,< 1%
4 carat round diamond ring,USD,1300,0%,30%,High,100,1.74,5.50,13%
april birthstone rings,USD,1300,46%,0%,High,100,0.56,2.05,< 1%
10 carat ring,USD,1300,0%,60%,High,100,1.50,3.99,< 1%
gents diamond ring,USD,1300,80%,0%,High,100,1.03,2.95,18%
4mm wedding band mens,USD,1300,0%,0%,High,100,1.66,4.55,2%
anime wedding rings,USD,1300,-28%,-62%,High,92,0.42,2.40,
tantalum wedding ring,USD,1300,0%,23%,High,100,1.39,4.44,< 1%
traditional wedding rings,USD,1300,0%,0%,High,100,0.81,3.20,3%
online fine jewelry stores,USD,1300,0%,0%,Medium,48,1.53,9.09,1%
1 3 ct diamond,USD,1300,-23%,0%,High,100,1.28,3.54,6%
10k wedding band,USD,1300,-23%,-23%,High,100,0.80,3.01,8%
kourtney kardashian engagement ring,USD,1300,53%,123%,Low,25,,,
925 ring with diamonds,USD,1300,0%,-33%,High,98,1.00,2.72,2%
victorian wedding ring,USD,1300,0%,30%,High,100,0.82,2.82,1%
wedding ring guard,USD,1300,0%,23%,High,100,0.40,2.41,5%
plain wedding ring,USD,1300,0%,0%,High,100,0.89,3.80,2%
1 3 carat diamond ring,USD,1300,-23%,0%,High,100,1.28,3.54,6%
jewish wedding bands,USD,1300,0%,0%,High,100,0.41,3.44,1%
3 4 ct diamond,USD,1300,-23%,-23%,High,100,1.28,3.93,4%
designer wedding bands for him,USD,1300,0%,-16%,High,100,1.12,3.72,2%
simone biles engagement ring,USD,1300,-34%,0%,Medium,47,,,
wedding band set for her,USD,1300,-23%,-38%,High,99,0.76,3.54,29%
black opal ring mens,USD,1300,-19%,0%,High,100,0.57,2.34,< 1%
solitaire wedding band,USD,1300,0%,-23%,High,100,1.19,4.38,8%
gold and tungsten ring,USD,1300,0%,0%,High,100,1.06,3.50,< 1%
elvish wedding ring,USD,1300,-18%,0%,High,100,0.83,3.63,
traditional wedding bands,USD,1300,0%,0%,High,100,0.81,3.20,3%
stainless steel wedding bands for him,USD,1300,-32%,-19%,High,100,0.75,3.29,< 1%
black diamond bridal ring sets,USD,1300,-32%,-45%,High,100,0.94,4.77,42%
mens designer wedding rings,USD,1300,0%,-16%,High,100,1.12,3.72,2%
simple wedding bands for him,USD,1300,0%,23%,High,100,1.36,4.01,< 1%
baguette diamond wedding ring,USD,1300,-47%,-23%,High,100,1.36,4.26,6%
marquise ring with wedding band,USD,1300,-19%,0%,High,100,0.94,3.25,1%
tungsten and gold ring,USD,1300,0%,0%,High,100,1.06,3.50,< 1%
scarlett johansson engagement ring,USD,1300,-17%,307%,Low,28,,,< 1%
we buy jewellery near me,USD,1300,0%,30%,Medium,54,2.31,7.14,
sapphire wedding band set,USD,1300,0%,-19%,High,100,0.93,3.39,2%
jewish wedding ring,USD,1300,0%,0%,High,100,0.41,3.44,1%
black diamond wedding band set,USD,1300,-32%,-45%,High,100,0.94,4.77,42%
celebrity wedding bands,USD,1300,-19%,-19%,High,100,0.04,0.13,< 1%
platinum diamond ring price,USD,1300,0%,22%,High,83,1.05,2.62,< 1%
simple men's wedding bands,USD,1300,0%,23%,High,100,1.36,4.01,< 1%
basic mens wedding band,USD,1300,0%,23%,High,100,1.36,4.01,< 1%
mens comfort fit wedding ring,USD,1300,0%,0%,High,100,1.79,6.04,8%
simple mens wedding rings,USD,1300,0%,23%,High,100,1.36,4.01,< 1%
cleaning engagement ring,USD,1300,-38%,14%,High,93,0.34,2.50,1%
men's designer wedding bands,USD,1300,0%,-16%,High,100,1.12,3.72,2%
mens wedding rings black titanium,USD,1300,0%,0%,High,100,1.20,3.93,1%
black titanium band,USD,1300,0%,-23%,High,100,0.97,3.85,< 1%
bridal sets for her,USD,1300,-23%,-38%,High,99,0.76,3.54,29%
green wedding ring mens,USD,1300,0%,-23%,High,100,1.46,3.82,< 1%
men's 4mm wedding band,USD,1300,0%,0%,High,100,1.66,4.55,2%
simple wedding rings for him,USD,1300,0%,23%,High,100,1.36,4.01,< 1%
designer mens engagement rings,USD,1300,0%,-16%,High,100,1.12,3.72,2%
designer men's wedding band,USD,1300,0%,-16%,High,100,1.12,3.72,2%
mens wedding rings stainless steel,USD,1300,-32%,-19%,High,100,0.75,3.29,< 1%
customised jewellery online,USD,1300,-63%,-18%,High,74,1.60,5.23,< 1%
men's simple wedding bands,USD,1300,0%,23%,High,100,1.36,4.01,< 1%
mens wedding rings simple,USD,1300,0%,23%,High,100,1.36,4.01,< 1%
3 4 of a carat diamond,USD,1300,-23%,-23%,High,100,1.28,3.93,4%
indian jewlery set,USD,1300,0%,-23%,High,100,0.23,1.97,< 1%
1 1 3 carat diamond,USD,1300,-23%,0%,High,100,1.28,3.54,6%
wedding band heart,USD,1300,-19%,-19%,High,100,1.30,3.54,2%
wedding ring sets for her and her,USD,1300,-23%,-38%,High,99,0.76,3.54,29%
1 3 kt diamond,USD,1300,-23%,0%,High,100,1.28,3.54,6%
3 4 kt diamond,USD,1300,-23%,-23%,High,100,1.28,3.93,4%
cheryl scott no wedding ring,USD,1300,-47%,0%,Low,0,,,
demi lovato engagement ring,USD,1300,-62%,0%,Low,27,,,
designer male wedding bands,USD,1300,0%,-16%,High,100,1.12,3.72,2%
diamond 1 3 carat,USD,1300,-23%,0%,High,100,1.28,3.54,6%
natural jewlery,USD,1300,0%,0%,High,100,1.42,9.34,
simone biles engaged ring,USD,1300,-34%,0%,Medium,47,,,
simone biles engagement rings,USD,1300,-34%,0%,Medium,47,,,
womens fashion jewellery,USD,1300,30%,30%,High,100,0.42,2.68,< 1%
ritani lab diamonds,USD,1000,-41%,-18%,High,93,4.56,118.91,2%
lab grown diamond stud earrings 2 carat,USD,1000,-12%,49%,High,100,2.37,10.04,85%
adiamor diamonds,USD,1000,-33%,-18%,High,100,2.15,25.00,11%
best moissanite rings,USD,1000,0%,-32%,High,100,1.45,5.05,2%
unusual engagement rings,USD,1000,-12%,0%,High,100,1.18,3.02,1%
proposal rings for her,USD,1000,-18%,-18%,High,100,1.65,5.15,4%
russian wedding ring,USD,1000,0%,0%,High,100,0.90,4.23,4%
black diamond earrings for women,USD,1000,-45%,-18%,High,100,0.49,3.14,73%
custom moissanite ring,USD,1000,0%,0%,High,94,1.32,4.51,< 1%
solitaire diamond earrings,USD,1000,-28%,-18%,High,100,1.38,6.70,12%
canadian diamonds,USD,1000,0%,0%,High,91,2.09,7.00,3%
vrai rings,USD,1000,-18%,-62%,High,100,1.00,5.75,2%
solitaire earrings,USD,1000,-12%,-12%,High,100,1.16,4.39,4%
solitaire diamond engagement ring,USD,1000,0%,0%,High,91,1.85,6.58,9%
2 carat pear shaped diamond ring,USD,1000,-23%,-23%,High,100,1.71,6.01,3%
dinosaur bone wedding band,USD,1000,-32%,-12%,High,100,1.06,4.02,
opal engagement ring set,USD,1000,-12%,-12%,High,84,1.17,3.17,< 1%
damascus wedding band,USD,1000,0%,0%,High,100,1.25,3.96,< 1%
elongated radiant cut engagement rings,USD,1000,83%,83%,High,100,2.24,6.48,< 1%
thin band engagement ring,USD,1000,0%,0%,High,100,1.60,3.74,< 1%
plain gold wedding band,USD,1000,-23%,0%,High,100,0.76,3.25,2%
gold and diamond earrings,USD,1000,-18%,-18%,High,100,0.87,4.62,5%
wedding engagement rings,USD,1000,-23%,0%,High,100,1.51,5.12,11%
different engagement rings,USD,1000,-12%,-32%,High,100,1.40,3.17,1%
princess cut wedding band,USD,1000,-23%,0%,High,100,1.19,5.04,33%
best place to buy jewelry online,USD,1000,-18%,-18%,High,100,1.39,5.74,4%
sapphire engagement rings for women,USD,1000,-28%,0%,High,100,1.72,5.99,2%
yellow gold diamond earrings,USD,1000,-55%,0%,High,100,0.78,4.82,9%
0.5 carat diamond ring,USD,1000,-23%,39%,High,100,1.45,5.26,2%
thin diamond band,USD,1000,0%,-12%,High,100,1.50,4.26,3%
cheap jewelry online,USD,1000,-12%,0%,High,100,0.77,5.59,< 1%
single diamond engagement rings,USD,1000,0%,-12%,High,97,1.79,5.72,3%
wedding rings online,USD,1000,23%,0%,High,100,2.92,13.44,7%
sterling silver wedding sets,USD,1000,-23%,14%,High,100,0.51,2.20,3%
hammered gold wedding band,USD,1000,0%,30%,High,100,1.31,4.27,46%
diamond promise rings for her,USD,1000,-45%,-45%,High,100,0.80,3.44,6%
real diamond rings for women,USD,1000,-38%,14%,High,100,1.42,4.47,37%
best wedding rings for women,USD,1000,0%,-18%,High,100,1.46,4.41,6%
meteorite engagement ring,USD,1000,-12%,-12%,High,100,1.34,3.76,1%
aquamarine wedding band,USD,1000,0%,-23%,High,100,1.18,5.52,2%
vvs diamond ring,USD,1000,-45%,-18%,High,100,1.25,3.23,9%
engagement rings under 200,USD,1000,-28%,-18%,High,100,0.71,3.15,2%
wedding and engagement rings,USD,1000,0%,0%,High,100,1.75,4.93,13%
heart shaped diamond engagement ring,USD,1000,-54%,0%,High,100,1.85,6.22,3%
round diamond earrings,USD,1000,-32%,0%,High,100,1.09,4.77,8%
three diamond ring,USD,1000,0%,0%,High,100,1.52,4.02,16%
buy wedding ring,USD,1000,23%,0%,High,100,3.15,13.62,6%
jewelry sites,USD,1000,0%,-12%,High,100,1.31,4.00,2%
cheap wedding bands for her,USD,1000,-45%,-70%,High,100,0.80,2.44,4%
v shaped wedding band,USD,1000,-23%,0%,High,100,1.12,4.46,8%
london blue topaz engagement ring,USD,1000,-12%,0%,High,100,1.50,4.27,1%
5 stone engagement ring,USD,1000,0%,14%,High,100,1.82,5.59,11%
matching engagement rings,USD,1000,-12%,-12%,High,100,1.17,3.65,2%
unique diamond engagement rings,USD,1000,0%,0%,High,100,1.38,3.60,3%
colored diamond engagement rings,USD,1000,-19%,30%,High,100,1.83,4.00,2%
baguette band,USD,1000,-12%,-32%,High,100,1.48,4.52,1%
rose gold engagement ring set,USD,1000,0%,-23%,High,100,1.35,4.37,11%
solitaire wedding ring,USD,1000,-32%,-32%,High,100,1.56,4.75,3%
1.5 carat emerald cut diamond ring,USD,1000,-12%,-32%,High,100,1.88,5.68,< 1%
princess cut solitaire ring,USD,1000,-32%,-12%,High,100,1.43,4.46,4%
rose gold moissanite ring,USD,1000,-32%,-32%,High,100,0.90,3.22,2%
yellow engagement ring,USD,1000,0%,14%,High,100,1.68,3.87,3%
rose gold diamond wedding band,USD,1000,30%,30%,High,100,1.14,3.99,6%
expensive diamond ring,USD,1000,-23%,-23%,High,100,1.13,2.83,< 1%
1.25 carat diamond ring,USD,1000,-18%,-28%,High,100,1.40,4.36,9%
cheap wedding rings for her,USD,1000,-45%,-70%,High,100,0.80,2.44,4%
white gold diamond band,USD,1000,0%,-12%,High,100,1.13,3.88,19%
gay wedding rings,USD,1000,-12%,-32%,High,100,1.02,2.96,< 1%
18k gold mens wedding band,USD,1000,-23%,14%,High,100,1.14,3.90,11%
crystal wedding rings,USD,1000,-12%,-45%,High,100,0.85,2.60,< 1%
5000 engagement ring,USD,1000,-12%,-12%,High,100,1.10,4.12,2%
25th wedding anniversary ring for wife,USD,1000,-41%,-55%,High,100,0.92,3.13,32%
leverback diamond earrings,USD,1000,-28%,-18%,High,100,0.50,3.53,59%
japanese engagement ring,USD,1000,-12%,0%,High,100,1.55,6.39,< 1%
solid gold wedding band,USD,1000,-38%,0%,High,100,1.16,3.70,5%
engagement ring companies,USD,1000,-18%,-55%,High,100,2.22,8.84,1%
criss cross diamond ring,USD,1000,-45%,-18%,High,100,1.24,4.52,36%
black moissanite ring,USD,1000,0%,-12%,High,100,0.63,2.35,8%
moissanite near me,USD,1000,0%,-32%,High,89,1.19,3.75,
channel set engagement ring,USD,1000,0%,0%,High,100,1.96,6.45,8%
moissanite engagement rings for women,USD,1000,-80%,22%,High,100,1.59,5.11,4%
oval solitaire ring,USD,1000,0%,14%,High,100,2.00,5.79,2%
3 stone princess cut engagement ring,USD,1000,-23%,0%,High,100,1.63,5.52,37%
best jewelry stores for engagement rings,USD,1000,0%,22%,High,99,2.51,10.84,2%
pear shaped wedding set,USD,1000,-12%,-12%,High,100,1.07,4.21,2%
black diamond wedding ring set,USD,1000,-12%,-12%,High,100,0.96,3.96,39%
salt and pepper ring,USD,1000,-12%,-12%,High,100,1.52,4.05,< 1%
best diamonds,USD,1000,14%,0%,High,100,1.82,7.00,3%
purple sapphire engagement rings,USD,1000,-23%,39%,High,100,1.55,4.74,< 1%
rose gold pear shaped engagement ring,USD,1000,0%,0%,High,96,1.50,5.51,1%
reputable online jewelers,USD,1000,-89%,51%,High,100,1.72,6.86,6%
vintage moissanite rings,USD,1000,-28%,-28%,High,100,0.76,2.98,< 1%
rose gold wedding sets,USD,1000,-12%,-32%,High,100,0.76,3.37,6%
best jewelers for engagement rings,USD,1000,0%,22%,High,99,2.51,10.84,2%
princess cut promise rings,USD,1000,-12%,0%,High,100,0.69,2.98,1%
3 piece wedding ring sets,USD,1000,0%,-12%,High,100,1.00,4.00,33%
heart diamond engagement ring,USD,1000,-38%,0%,High,100,2.00,5.50,4%
green stone engagement ring,USD,1000,-32%,0%,High,100,1.63,5.29,1%
fiance ring,USD,1000,0%,0%,High,100,2.00,6.91,1%
round diamond wedding band,USD,1000,-23%,0%,High,100,1.41,4.45,5%
halo diamond,USD,1000,0%,-38%,High,100,1.85,6.70,3%
stainless steel engagement rings,USD,1000,-12%,0%,High,100,0.47,3.11,< 1%
unique sapphire engagement rings,USD,1000,-12%,-32%,High,100,1.26,3.63,< 1%
black wedding bands for her,USD,1000,-45%,-63%,High,100,0.78,2.75,9%
14k wedding band,USD,1000,0%,0%,High,100,0.85,3.50,11%
solitaire ring settings,USD,1000,0%,-23%,High,100,1.63,4.68,5%
black wedding rings for her,USD,1000,-45%,-63%,High,100,0.78,2.75,9%
marquise diamond band,USD,1000,0%,0%,High,100,1.67,4.93,13%
labradorite engagement ring,USD,1000,-12%,0%,High,94,0.85,3.63,< 1%
wooden engagement ring,USD,1000,0%,0%,High,100,0.86,3.13,
pink sapphire and diamond ring,USD,1000,0%,120%,High,100,1.21,3.60,13%
lesbian wedding rings,USD,1000,-12%,0%,High,100,0.71,2.70,1%
black engagement rings for him,USD,1000,0%,-23%,High,100,1.11,3.11,1%
pink stone engagement rings,USD,1000,-12%,0%,High,100,1.57,3.69,1%
solid gold mens wedding band,USD,1000,0%,14%,High,100,1.06,4.00,9%
ring with diamonds all around,USD,1000,-23%,-23%,High,100,1.50,4.51,3%
black diamonds new york,USD,1000,-12%,22%,High,95,1.43,22.47,11%
copper wedding band,USD,1000,0%,-23%,High,100,0.73,2.86,< 1%
emerald cut solitaire engagement rings,USD,1000,-23%,14%,High,100,2.00,8.71,< 1%
yellow gold emerald cut engagement rings,USD,1000,-19%,30%,High,100,2.00,6.68,< 1%
amethyst wedding ring set,USD,1000,-12%,0%,High,100,0.90,3.23,2%
baguette diamond engagement ring,USD,1000,83%,646%,Medium,44,1.76,4.33,< 1%
0.5 ct diamond ring,USD,1000,-23%,39%,High,100,1.45,5.26,2%
wedding band cost,USD,1000,50%,140%,Medium,53,1.00,4.18,< 1%
vintage opal engagement rings,USD,1000,-12%,-32%,High,100,0.60,2.32,< 1%
elongated cushion diamond,USD,1000,14%,14%,High,100,2.33,7.44,< 1%
mens black engagement rings,USD,1000,0%,-23%,High,100,1.11,3.11,1%
minimalist wedding rings,USD,1000,0%,-38%,High,100,0.96,3.25,< 1%
rose diamond ring,USD,1000,-12%,-12%,High,100,1.32,3.36,< 1%
carat ring,USD,1000,0%,14%,High,99,3.33,18.96,< 1%
diamond engagement,USD,1000,0%,69%,High,87,2.75,12.38,7%
pawn shop wedding rings,USD,1000,-12%,-12%,High,100,0.76,3.34,20%
pinterest engagement rings,USD,1000,0%,48%,High,100,1.27,6.07,1%
blue sapphire wedding band,USD,1000,0%,0%,High,100,1.15,3.76,4%
4 carat radiant cut diamond ring,USD,1000,-12%,-12%,High,100,1.91,4.79,3%
elvish engagement ring,USD,1000,-32%,0%,High,100,1.28,4.90,
4.5 carat diamond ring,USD,1000,-12%,0%,High,100,1.44,4.04,4%
unique emerald cut engagement rings,USD,1000,-32%,-12%,High,100,1.62,3.91,1%
pink moissanite ring,USD,1000,-12%,22%,High,100,0.50,2.60,1%
two diamond ring,USD,1000,0%,30%,High,100,1.61,4.22,34%
rectangle cut diamond ring,USD,1000,0%,14%,High,100,1.63,4.41,1%
sapphire promise ring,USD,1000,-41%,-33%,High,100,0.78,2.99,2%
peridot wedding ring,USD,1000,-32%,-12%,High,100,1.30,3.90,1%
til death wedding band,USD,1000,-55%,-18%,High,100,0.61,2.74,< 1%
small diamond engagement ring,USD,1000,-23%,0%,High,100,1.50,3.94,1%
wide diamond wedding bands,USD,1000,0%,-23%,High,100,1.15,3.45,19%
nature inspired wedding rings,USD,1000,0%,30%,High,100,1.19,3.30,< 1%
stacked engagement rings,USD,1000,-12%,-12%,High,100,1.73,4.70,4%
mens wedding,USD,1000,0%,0%,High,100,1.66,4.75,< 1%
pave ring setting,USD,1000,-41%,-41%,High,100,1.94,5.50,< 1%
peridot wedding band,USD,1000,-32%,-12%,High,100,1.30,3.90,1%
gold bridal set,USD,1000,0%,0%,High,100,0.83,3.80,26%
sterling silver moissanite ring,USD,1000,0%,0%,High,100,0.58,1.97,< 1%
green moissanite ring,USD,1000,-23%,39%,High,100,0.68,2.58,< 1%
onyx wedding ring,USD,1000,-12%,-12%,High,100,0.90,3.50,2%
engagement rings for women cheap,USD,1000,-12%,-12%,High,100,0.87,4.31,4%
halo setting,USD,1000,0%,0%,High,99,2.00,6.78,4%
onyx wedding band,USD,1000,-12%,-12%,High,100,0.90,3.50,2%
simple unique engagement rings,USD,1000,0%,48%,High,100,0.97,2.91,< 1%
natural moissanite,USD,1000,-23%,0%,High,99,0.66,2.41,3%
50 carat diamond ring,USD,1000,-32%,30%,High,100,1.22,3.95,3%
silicone wedding bands near me,USD,1000,-12%,-12%,High,100,0.39,2.65,
antique cushion cut diamond,USD,1000,-23%,14%,High,100,1.30,4.85,< 1%
best jewelry sites,USD,1000,-12%,-12%,High,100,1.24,4.10,2%
canary yellow diamond ring,USD,1000,0%,14%,High,100,1.56,3.69,2%
unique bezel set engagement rings,USD,1000,-19%,48%,High,100,1.30,3.25,1%
sterling silver bridal sets,USD,1000,14%,-23%,High,100,0.55,2.28,5%
royal engagement rings,USD,1000,0%,-23%,High,100,0.05,3.55,< 1%
blue sapphire wedding ring,USD,1000,0%,0%,High,100,1.15,3.76,4%
discount jewelry online,USD,1000,-71%,-34%,High,100,0.85,5.26,23%
thick gold wedding band,USD,1000,-23%,14%,High,100,0.71,3.12,19%
antique wedding ring sets,USD,1000,0%,0%,High,100,0.73,2.11,5%
mens blue diamond ring,USD,1000,-12%,-12%,High,100,1.02,3.27,100%
tungsten carbide mens wedding bands,USD,1000,-72%,14%,High,100,1.27,4.23,< 1%
mens wedding band styles,USD,1000,-16%,60%,High,100,1.16,3.46,4%
black silicone ring,USD,1000,-28%,-18%,High,100,0.32,1.87,
milgrain,USD,1000,30%,48%,High,100,2.23,8.35,2%
3 piece wedding ring sets for her,USD,1000,0%,-55%,High,100,0.75,3.01,20%
2 carat diamond ring for sale,USD,1000,49%,-12%,High,74,1.34,4.64,63%
classic mens wedding bands,USD,1000,-23%,14%,High,100,1.51,3.90,2%
3 stone emerald ring,USD,1000,-12%,0%,High,100,2.00,6.03,1%
nature wedding rings,USD,1000,0%,0%,High,100,0.99,3.40,< 1%
11 carat diamond ring,USD,1000,230%,392%,High,100,1.19,2.91,2%
japanese wedding rings,USD,1000,-12%,0%,High,100,1.35,6.19,< 1%
rubber band rings,USD,1000,14%,14%,High,99,0.48,2.58,
elven engagement ring,USD,1000,-32%,0%,High,100,1.28,4.90,
antique wedding bands 1920s,USD,1000,-32%,-12%,High,100,0.40,2.03,2%
antique diamonds,USD,1000,0%,30%,High,98,0.94,4.64,< 1%
mens gold tungsten wedding bands,USD,1000,-52%,23%,High,100,1.52,4.53,1%
chocolate diamond wedding ring set,USD,1000,0%,-12%,High,100,0.93,3.05,15%
30 carat diamond ring,USD,1000,60%,82%,High,99,1.39,3.85,< 1%
russian wedding band,USD,1000,0%,0%,High,100,0.90,4.23,4%
mens moissanite wedding bands,USD,1000,-32%,0%,High,100,0.94,3.25,21%
smoky quartz engagement ring,USD,1000,-56%,22%,High,100,0.76,3.02,1%
different types of wedding rings,USD,1000,-23%,0%,High,100,0.92,2.75,1%
one diamond engagement ring,USD,1000,0%,-12%,High,97,1.79,5.72,3%
mens silver engagement rings,USD,1000,0%,22%,High,100,1.10,2.89,< 1%
hexagon diamond,USD,1000,-23%,14%,High,100,1.83,5.55,< 1%
tungsten and gold mens wedding bands,USD,1000,-52%,23%,High,100,1.52,4.53,1%
turquoise and diamond engagement ring,USD,1000,-23%,14%,High,100,1.30,3.40,3%
